GAME_ID,NAME,BOX_ART,DETAILS_URL,MAIN_STORY_LENGTH,MAIN_EXTRA_LENGTH,COMPLETIONIST_LENGTH,COMBINED_LENGTH
80,10 Years After,gameimages/10-Years_After_header.jpg,game.php?id=24134,-1,-1,-1,-1
81,10000 Bullets,gameimages/10000_Bullets_PAL_Cover.jpg,game.php?id=23801,4.5,20,-1,7
82,1953: NATO vs Warsaw Pact,gameimages/1953_NATO_vs_Warsaw_Pact_header.jpg,game.php?id=23501,-1,-1,-1,-1
83,1Xtreme,gameimages/250px-ESPNExtremeGamesBoxShotPlayStationJapanese.jpg,game.php?id=23103,35,3,-1,2
84,1945k III,gameimages/1945k_III.jpg,game.php?id=22507,-1,23,-1,23
85,1080 Snowboarding,gameimages/250px-1080snowboardingbox.jpg,game.php?id=41,3,7,10,5.5
86,1 vs. 100,gameimages/150px-1vs100_logo_360.jpg,game.php?id=21829,-1,8,-1,-1
87,1893: A World's Fair Mystery,gameimages/1893boxaasda1.jpg,game.php?id=20947,-1,-1,-1,-1
88,1Quest,gameimages/1Quest_boxshot.jpg,game.php?id=20676,1.5,-1,-1,1.5
89,18 Wheels of Steel: Across America,gameimages/36595_18_Wheels_of_Steel_Across_America.jpg,game.php?id=36595,20,-1,-1,20
90,1080° Avalanche,gameimages/2213144-box_1080a_large.png,game.php?id=42,4.5,8.5,21,9.5
91,2064: Read Only Memories,gameimages/43772_2064_Read_Only_Memories.jpg,game.php?id=43772,9.5,10,14.5,10.5
92,20XX,gameimages/20XX_header.jpg,game.php?id=25226,3,13,-1,5
93,200% Mixed Juice!,gameimages/200_Mixed_Juice_header.jpg,game.php?id=31314,5.5,-1,6.5,6
94,2Dark,gameimages/45186_2Dark.jpg,game.php?id=45186,10,-1,-1,10
95,24 Hours 'til Rescue,gameimages/36562_24_Hours_til_Rescue.jpg,game.php?id=36562,-1,-1,-1,-1
96,2 Fast 4 Gnomz,gameimages/26944_2_Fast_4_Gnomz.jpg,game.php?id=26944,-1,-1,-1,-1
97,2 Ninjas 1 Cup,gameimages/46707_2_Ninjas_1_Cup.jpg,game.php?id=46707,-1,-1,-1,-1
98,2010 FIFA World Cup South Africa,gameimages/2010_FIFA_World_Cup_Video_Game.jpg,game.php?id=60,8.5,-1,-1,-1
99,24: The Game,gameimages/256px-24_-_The_Game.jpg,game.php?id=61,12,-1,-1,12
100,2014 FIFA World Cup Brazil,gameimages/2014_FIFA_World_Cup_Brazil_game.jpg,game.php?id=17881,68.5,-1,-1,-1
101,2001:1: A Space Felony,gameimages/47167_20011_A_Space_Felony.jpg,game.php?id=47167,-1,-1,-1,-1
102,25 To Life,gameimages/25_To_Life_Coverart.png,game.php?id=62,4.5,4.5,-1,4.5
103,24 Hours,gameimages/40680_24_HOURS.jpg,game.php?id=40680,-1,-1,-1,-1
104,28 Waves Later,gameimages/38069_28_Waves_Later.jpg,game.php?id=38069,-1,-1,-1,-1
105,2 Sectors (Doom 2 WAD),gameimages/2_Sectors_(Doom_2_WAD).jpg,game.php?id=14938,41,-1,-1,41
106,2002 FIFA World Cup,gameimages/36129_2002_FIFA_World_Cup.jpg,game.php?id=36129,-1,-1,-1,-1
107,2006 FIFA World Cup,gameimages/2006_FIFA_World_Cup.jpg,game.php?id=15162,10.5,-1,-1,-1
108,2048,gameimages/2048_Screenshot.png,game.php?id=17411,17,3,-1,29
109,2013: Infected Wars,gameimages/2013_Infected_Wars.jpg,game.php?id=25489,5,-1,-1,5
110,2400 A.D.,gameimages/2400_A_D__Coverart.png,game.php?id=17654,-1,-1,-1,-1
111,2Xtreme,gameimages/2_Xtreme_PAL.jpg,game.php?id=19095,59,-1,-1,59
112,Dai-2-ji Super Robot Taisen,gameimages/Super_Robot_Wars_2_Front_Box_Art.jpg,game.php?id=18301,-1,-1,-1,-1
113,2000:1: A Space Felony,gameimages/47162_20001_A_Space_Felony.jpg,game.php?id=47162,51,-1,-1,51
114,Sonic the Hedgehog 2 (16-bit),gameimages/250px-Sonic2_European_Box.jpg,game.php?id=8788,2.5,3,3,2.5
115,Sonic the Hedgehog (1991),gameimages/250px-Sonic1_box_usa.jpg,game.php?id=8784,2,2,2,2
116,Kirby's Adventure,gameimages/250px-Kirbys_Adventure_Coverart.png,game.php?id=5070,3.5,4.5,6,4
